feature,coef,std_error,z_value,p_value,conf_low_logit,conf_high_logit,odds_ratio,or_ci_low,or_ci_high,abs_coef
Functional_dependence_Dependent,1.2275078934387569,0.42552855465831624,2.8846663285015044,0.0039182871417587405,0.39347192630845707,2.061543860569057,3.412714082830655,1.4821176746336087,7.858092249004328,1.2275078934387569
ASA_simple_3,0.9864165061724748,0.5306384272457934,1.858923997065828,0.06303791211328896,-0.053634811229280155,2.0264678235742295,2.681607709254021,0.9477781612519207,7.587239504265401,0.9864165061724748
SEX_male,0.9191620741555457,0.27279980493044426,3.369364851231856,7.534162831376867e-4,0.38447445649187506,1.4538496918192165,2.507188671332469,1.468842178090298,4.2795578227679645,0.9191620741555457
ASA_simple_4,0.7488670581233314,0.6187253476356142,1.21033841749823,0.2261490618070621,-0.4638346232424724,1.9615687394891352,2.114602936773411,0.6288675459436374,7.110472799961441,0.7488670581233314
PRALBUM,-0.7479218405658794,0.2300205617048076,-3.251543405609583,0.0011478024812599445,-1.1987621415073022,-0.2970815396244565,0.4733492264716386,0.301567278579603,0.7429834273022923,0.7479218405658794
Dyspnea_any_Any,0.6288926952411531,0.26039353076873617,2.415162517227407,0.015728190245981856,0.11852137493443027,1.139264015547876,1.8755326428014467,1.125830938407286,3.1244679589194475,0.6288926952411531
DISCANCR_Yes,0.5954950855172574,0.4048268464464614,1.470987141155452,0.1412945944273942,-0.19796553351780688,1.3889557045523215,1.8139287725557267,0.820398128888046,4.010659551802238,0.5954950855172574
HXCOPD_Yes,0.5748175954820053,0.2618845211334313,2.1949277223190036,0.02816878285042471,0.06152393406047996,1.0881112569035305,1.776806399838883,1.0634559490432096,2.968661734742092,0.5748175954820053
PRHCT,-0.07771526464519747,0.025309300276319356,-3.070620830948525,0.002136142332804562,-0.1273214931867834,-0.028109036103611533,0.9252278341166557,0.8804505682325469,0.972282347142624,0.07771526464519747
PRCREAT,-0.03823846105524196,0.17794760719575534,-0.2148860648245574,0.829856149768829,-0.38701577115892244,0.3105388490484385,0.9624833987169418,0.6790803849575104,1.3641599924340004,0.03823846105524196
Age,0.006166348465892843,0.012243295994396395,0.503651015928644,0.6145066359973232,-0.01783051168312409,0.030163208614909776,1.006185399530966,0.9823275112862944,1.0306227267356132,0.006166348465892843
